 location ,cause,year,death
African Region,Other maternal disorders,2019,13031.00142
African Region,Maternal deaths aggravated by HIV/AIDS,2017,1506.871696
South-East Asia Region,Maternal hemorrhage,2019,20070.66666
South-East Asia Region,Maternal sepsis and other maternal infections,2019,2303.764798
South-East Asia Region,Maternal hypertensive disorders,2019,6234.317974
South-East Asia Region,Maternal obstructed labor and uterine rupture,2019,2711.193428
South-East Asia Region,Ectopic pregnancy,2019,1487.865399
South-East Asia Region,Indirect maternal deaths,2019,10407.27878
South-East Asia Region,Late maternal deaths,2019,3147.914535
South-East Asia Region,Other maternal disorders,2019,9144.230513
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2019,35.8063771
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2017,7.828610108
Western Pacific Region,Maternal hemorrhage,2017,1540.436739
Western Pacific Region,Maternal sepsis and other maternal infections,2017,268.6991069
Western Pacific Region,Maternal hypertensive disorders,2017,1023.332799
Western Pacific Region,Maternal obstructed labor and uterine rupture,2017,347.6276249
Western Pacific Region,Ectopic pregnancy,2017,184.6110053
Western Pacific Region,Indirect maternal deaths,2017,1259.639369
Western Pacific Region,Late maternal deaths,2017,106.2897845
Western Pacific Region,Other maternal disorders,2017,1322.320422
Region of the Americas,Maternal hemorrhage,2017,1466.383698
Region of the Americas,Maternal sepsis and other maternal infections,2017,851.9254506
Region of the Americas,Maternal hypertensive disorders,2017,1996.51485
Region of the Americas,Maternal obstructed labor and uterine rupture,2017,188.7989617
Region of the Americas,Ectopic pregnancy,2017,212.6565494
Region of the Americas,Indirect maternal deaths,2017,1800.197089
Region of the Americas,Late maternal deaths,2017,905.9507335
Region of the Americas,Other maternal disorders,2017,1762.830289
Region of the Americas,Maternal hemorrhage,2019,1389.250756
Region of the Americas,Maternal sepsis and other maternal infections,2019,804.0933996
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2017,22.10381222
Region of the Americas,Maternal hemorrhage,2018,1425.547922
Region of the Americas,Maternal sepsis and other maternal infections,2018,825.1189984
Region of the Americas,Maternal hypertensive disorders,2018,1947.82935
Region of the Americas,Maternal obstructed labor and uterine rupture,2018,186.7325926
Region of the Americas,Ectopic pregnancy,2018,206.3925061
Region of the Americas,Indirect maternal deaths,2018,1740.259942
Region of the Americas,Late maternal deaths,2018,898.4432119
Region of the Americas,Other maternal disorders,2018,1717.631715
Eastern Mediterranean Region,Maternal hemorrhage,2017,7254.42375
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2017,2885.472829
Eastern Mediterranean Region,Maternal hypertensive disorders,2017,8184.040498
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2017,1457.639977
Eastern Mediterranean Region,Ectopic pregnancy,2017,609.8948455
Eastern Mediterranean Region,Indirect maternal deaths,2017,3365.643105
Eastern Mediterranean Region,Late maternal deaths,2017,1506.080137
Eastern Mediterranean Region,Other maternal disorders,2017,3169.347641
European Region,Maternal abortion and miscarriage,2017,64.68827677
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,2018,36.43750738
Western Pacific Region,Maternal hemorrhage,2018,1433.859913
Western Pacific Region,Maternal sepsis and other maternal infections,2018,251.1681754
Western Pacific Region,Maternal hypertensive disorders,2018,966.4286065
Western Pacific Region,Maternal obstructed labor and uterine rupture,2018,325.6851837
Western Pacific Region,Ectopic pregnancy,2018,168.8073801
Western Pacific Region,Indirect maternal deaths,2018,1152.409683
Western Pacific Region,Late maternal deaths,2018,103.4472976
Western Pacific Region,Other maternal disorders,2018,1234.777841
Western Pacific Region,Maternal abortion and miscarriage,2018,318.5973991
European Region,Maternal abortion and miscarriage,2018,64.17518495
Eastern Mediterranean Region,Maternal abortion and miscarriage,2018,2297.298764
European Region,Maternal deaths aggravated by HIV/AIDS,2018,2.259610633
Region of the Americas,Maternal abortion and miscarriage,2018,923.3052461
Eastern Mediterranean Region,Maternal abortion and miscarriage,2017,2383.167936
European Region,Maternal hemorrhage,2018,200.1258831
European Region,Maternal sepsis and other maternal infections,2018,52.97059096
European Region,Maternal hypertensive disorders,2018,196.0814582
European Region,Maternal obstructed labor and uterine rupture,2018,33.4914484
European Region,Ectopic pregnancy,2018,20.40088155
European Region,Indirect maternal deaths,2018,190.6101127
European Region,Late maternal deaths,2018,58.28527523
European Region,Other maternal disorders,2018,593.6114121
Region of the Americas,Maternal hypertensive disorders,2019,1896.219445
Region of the Americas,Maternal obstructed labor and uterine rupture,2019,183.3865759
Region of the Americas,Ectopic pregnancy,2019,200.9476286
Region of the Americas,Indirect maternal deaths,2019,1683.851256
Region of the Americas,Late maternal deaths,2019,888.5429082
Region of the Americas,Other maternal disorders,2019,1678.876315
South-East Asia Region,Maternal hemorrhage,2018,20640.28841
South-East Asia Region,Maternal sepsis and other maternal infections,2018,2409.836585
South-East Asia Region,Maternal hypertensive disorders,2018,6349.932229
South-East Asia Region,Maternal obstructed labor and uterine rupture,2018,2590.606675
South-East Asia Region,Ectopic pregnancy,2018,1490.66698
South-East Asia Region,Indirect maternal deaths,2018,10174.4755
South-East Asia Region,Late maternal deaths,2018,3049.103653
South-East Asia Region,Other maternal disorders,2018,9165.544078
African Region,Maternal deaths aggravated by HIV/AIDS,2018,1496.75047
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2017,39.16878331
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2018,22.33155121
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2018,39.41976649
African Region,Maternal deaths aggravated by HIV/AIDS,2019,1480.707174
European Region,Maternal deaths aggravated by HIV/AIDS,2017,2.020403314
African Region,Maternal abortion and miscarriage,2019,13899.72859
Region of the Americas,Maternal abortion and miscarriage,2017,957.5972182
Region of the Americas,Maternal abortion and miscarriage,2019,894.9994571
South-East Asia Region,Maternal abortion and miscarriage,2019,2187.446529
European Region,Maternal hemorrhage,2017,207.3709815
European Region,Maternal sepsis and other maternal infections,2017,55.52157586
European Region,Maternal hypertensive disorders,2017,201.2586488
European Region,Maternal obstructed labor and uterine rupture,2017,34.02435039
European Region,Ectopic pregnancy,2017,20.16927315
European Region,Indirect maternal deaths,2017,192.3175757
European Region,Late maternal deaths,2017,57.43216801
European Region,Other maternal disorders,2017,600.5357731
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2018,7.799110997
South-East Asia Region,Maternal abortion and miscarriage,2017,2442.120211
African Region,Maternal hemorrhage,2017,17096.32588
African Region,Maternal sepsis and other maternal infections,2017,11314.3899
African Region,Maternal hypertensive disorders,2017,10732.73247
African Region,Maternal obstructed labor and uterine rupture,2017,5460.523514
African Region,Ectopic pregnancy,2017,3959.065129
African Region,Indirect maternal deaths,2017,7869.08361
African Region,Late maternal deaths,2017,7170.752868
African Region,Other maternal disorders,2017,12949.60707
European Region,Maternal abortion and miscarriage,2019,62.62645055
Eastern Mediterranean Region,Maternal hemorrhage,2019,6769.844924
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,2019,2815.605638
Eastern Mediterranean Region,Maternal hypertensive disorders,2019,7838.377895
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,2019,1581.877272
Eastern Mediterranean Region,Ectopic pregnancy,2019,600.8704735
Eastern Mediterranean Region,Indirect maternal deaths,2019,3441.378709
Eastern Mediterranean Region,Late maternal deaths,2019,1526.541707
Eastern Mediterranean Region,Other maternal disorders,2019,3103.813114
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,2019,38.55034583
European Region,Maternal deaths aggravated by HIV/AIDS,2019,2.383900394
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,2019,22.30168556
Western Pacific Region,Maternal hemorrhage,2019,1363.750965
Western Pacific Region,Maternal sepsis and other maternal infections,2019,237.8894306
Western Pacific Region,Maternal hypertensive disorders,2019,932.1046992
Western Pacific Region,Maternal obstructed labor and uterine rupture,2019,315.1706114
Western Pacific Region,Ectopic pregnancy,2019,160.0316977
Western Pacific Region,Indirect maternal deaths,2019,1095.174443
Western Pacific Region,Late maternal deaths,2019,103.2885576
Western Pacific Region,Other maternal disorders,2019,1184.622023
European Region,Maternal hemorrhage,2019,193.7764454
European Region,Maternal sepsis and other maternal infections,2019,50.60731727
European Region,Maternal hypertensive disorders,2019,191.3821386
European Region,Maternal obstructed labor and uterine rupture,2019,32.75990376
European Region,Ectopic pregnancy,2019,20.03654539
European Region,Indirect maternal deaths,2019,186.7599802
European Region,Late maternal deaths,2019,60.26777006
European Region,Other maternal disorders,2019,584.4672491
Western Pacific Region,Maternal abortion and miscarriage,2019,303.0063488
Eastern Mediterranean Region,Maternal abortion and miscarriage,2019,2191.938228
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,2019,7.595120573
South-East Asia Region,Maternal hemorrhage,1990,3724606.577
South-East Asia Region,Maternal sepsis and other maternal infections,1990,1083504.097
South-East Asia Region,Maternal hypertensive disorders,1990,1239154.761
South-East Asia Region,Maternal obstructed labor and uterine rupture,1990,524089.5505
South-East Asia Region,Ectopic pregnancy,1990,124997.4635
South-East Asia Region,Indirect maternal deaths,1990,757686.903
South-East Asia Region,Late maternal deaths,1990,254861.4312
South-East Asia Region,Other maternal disorders,1990,637925.925
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1990,187.2513899
South-East Asia Region,Maternal abortion and miscarriage,1990,1436182.211
European Region,Maternal hemorrhage,1990,81719.6885
European Region,Maternal sepsis and other maternal infections,1990,34710.9716
European Region,Maternal hypertensive disorders,1990,54832.24072
European Region,Maternal obstructed labor and uterine rupture,1990,10790.80491
European Region,Ectopic pregnancy,1990,10174.20072
European Region,Indirect maternal deaths,1990,20116.63839
European Region,Late maternal deaths,1990,6866.025288
European Region,Other maternal disorders,1990,65568.38474
European Region,Maternal deaths aggravated by HIV/AIDS,1990,22.96192593
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1990,134.7333145
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1990,247211.4825
Eastern Mediterranean Region,Maternal hypertensive disorders,1990,356801.911
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1990,64540.91363
Eastern Mediterranean Region,Ectopic pregnancy,1990,18277.46535
Eastern Mediterranean Region,Indirect maternal deaths,1990,98368.73393
Eastern Mediterranean Region,Late maternal deaths,1990,46514.60416
Eastern Mediterranean Region,Other maternal disorders,1990,122879.2589
European Region,Maternal abortion and miscarriage,1990,58885.72233
Eastern Mediterranean Region,Maternal hemorrhage,1990,497084.2849
Eastern Mediterranean Region,Maternal abortion and miscarriage,1990,310391.3056
Western Pacific Region,Maternal hemorrhage,1990,636230.2836
Western Pacific Region,Maternal sepsis and other maternal infections,1990,175523.0294
Western Pacific Region,Maternal hypertensive disorders,1990,215641.3422
Western Pacific Region,Maternal obstructed labor and uterine rupture,1990,46287.90785
Western Pacific Region,Ectopic pregnancy,1990,31868.13213
Western Pacific Region,Indirect maternal deaths,1990,175176.6428
Western Pacific Region,Late maternal deaths,1990,12123.00466
Western Pacific Region,Other maternal disorders,1990,168947.8061
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1990,45.08175884
Western Pacific Region,Maternal abortion and miscarriage,1990,187377.3363
African Region,Maternal deaths aggravated by HIV/AIDS,1992,58944.64848
African Region,Maternal hemorrhage,1991,971247.3688
African Region,Maternal sepsis and other maternal infections,1991,716633.5983
African Region,Maternal hypertensive disorders,1991,513418.4588
African Region,Maternal obstructed labor and uterine rupture,1991,263654.3612
African Region,Ectopic pregnancy,1991,142116.0026
African Region,Indirect maternal deaths,1991,201613.6239
African Region,Late maternal deaths,1991,217096.4755
African Region,Other maternal disorders,1991,443237.532
African Region,Maternal hemorrhage,1990,965311.8701
African Region,Maternal sepsis and other maternal infections,1990,709085.893
African Region,Maternal hypertensive disorders,1990,507149.2221
African Region,Maternal obstructed labor and uterine rupture,1990,264494.1514
African Region,Ectopic pregnancy,1990,139904.6101
Region of the Americas,Maternal hemorrhage,1992,202318.8039
African Region,Indirect maternal deaths,1990,200068.9838
African Region,Late maternal deaths,1990,213702.8641
African Region,Other maternal disorders,1990,435933.4368
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1992,1480.64253
South-East Asia Region,Maternal hemorrhage,1992,3734068.065
South-East Asia Region,Maternal sepsis and other maternal infections,1992,1060570.919
South-East Asia Region,Maternal hypertensive disorders,1992,1227271.116
South-East Asia Region,Maternal obstructed labor and uterine rupture,1992,505007.8956
South-East Asia Region,Ectopic pregnancy,1992,131773.5285
South-East Asia Region,Indirect maternal deaths,1992,756863.6911
African Region,Maternal abortion and miscarriage,1990,1273493.005
African Region,Maternal deaths aggravated by HIV/AIDS,1990,40926.72158
African Region,Maternal abortion and miscarriage,1991,1262155.333
African Region,Maternal sepsis and other maternal infections,1992,732065.4798
African Region,Maternal hypertensive disorders,1992,520543.2143
African Region,Maternal obstructed labor and uterine rupture,1992,263168.9397
African Region,Ectopic pregnancy,1992,146162.2987
African Region,Indirect maternal deaths,1992,204469.027
African Region,Late maternal deaths,1992,222679.5897
African Region,Other maternal disorders,1992,453543.0059
Region of the Americas,Maternal sepsis and other maternal infections,1990,118428.2252
Region of the Americas,Maternal hypertensive disorders,1990,200669.2701
Region of the Americas,Maternal obstructed labor and uterine rupture,1990,14902.72105
Region of the Americas,Ectopic pregnancy,1990,14027.40182
Region of the Americas,Indirect maternal deaths,1990,43382.31033
Region of the Americas,Late maternal deaths,1990,46099.53558
Region of the Americas,Other maternal disorders,1990,93969.05246
African Region,Maternal deaths aggravated by HIV/AIDS,1991,49900.88152
South-East Asia Region,Maternal abortion and miscarriage,1992,1330091.918
European Region,Maternal hemorrhage,1992,75479.43279
European Region,Maternal sepsis and other maternal infections,1992,30763.52982
European Region,Maternal hypertensive disorders,1992,51476.41224
European Region,Maternal obstructed labor and uterine rupture,1992,10172.75637
European Region,Ectopic pregnancy,1992,9043.63289
European Region,Indirect maternal deaths,1992,18876.20921
European Region,Late maternal deaths,1992,6330.864756
European Region,Other maternal disorders,1992,62156.86845
African Region,Maternal abortion and miscarriage,1992,1263146.821
Region of the Americas,Maternal abortion and miscarriage,1990,179124.8203
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1990,1074.474882
Region of the Americas,Maternal sepsis and other maternal infections,1991,112417.2858
Region of the Americas,Maternal hypertensive disorders,1991,194003.1555
Region of the Americas,Maternal obstructed labor and uterine rupture,1991,14978.84907
Region of the Americas,Ectopic pregnancy,1991,13334.67128
Region of the Americas,Indirect maternal deaths,1991,44682.27539
Region of the Americas,Late maternal deaths,1991,42441.65504
Region of the Americas,Other maternal disorders,1991,90466.27548
Region of the Americas,Maternal sepsis and other maternal infections,1992,110275.8319
Region of the Americas,Maternal hypertensive disorders,1992,194686.719
Region of the Americas,Maternal obstructed labor and uterine rupture,1992,15289.10667
Region of the Americas,Ectopic pregnancy,1992,12964.26501
Region of the Americas,Indirect maternal deaths,1992,46826.7545
Region of the Americas,Late maternal deaths,1992,41108.19145
Region of the Americas,Other maternal disorders,1992,89601.71205
European Region,Maternal abortion and miscarriage,1992,50704.42335
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1991,1271.139595
Eastern Mediterranean Region,Maternal hemorrhage,1992,528597.3502
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1992,255130.5772
Eastern Mediterranean Region,Maternal hypertensive disorders,1992,388709.39
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1992,71583.65044
Eastern Mediterranean Region,Ectopic pregnancy,1992,20169.65145
Eastern Mediterranean Region,Indirect maternal deaths,1992,107498.6149
Eastern Mediterranean Region,Late maternal deaths,1992,50641.29257
Eastern Mediterranean Region,Other maternal disorders,1992,135075.5843
Region of the Americas,Maternal abortion and miscarriage,1991,168603.603
Region of the Americas,Maternal hemorrhage,1990,208418.6112
South-East Asia Region,Late maternal deaths,1991,252325.5531
South-East Asia Region,Other maternal disorders,1991,660380.3923
Region of the Americas,Maternal abortion and miscarriage,1992,165874.4017
South-East Asia Region,Late maternal deaths,1992,260497.4425
South-East Asia Region,Other maternal disorders,1992,687883.6223
Eastern Mediterranean Region,Maternal abortion and miscarriage,1992,309739.9576
Western Pacific Region,Maternal obstructed labor and uterine rupture,1992,41318.4308
Western Pacific Region,Ectopic pregnancy,1992,27412.71481
Western Pacific Region,Indirect maternal deaths,1992,156781.6264
Western Pacific Region,Late maternal deaths,1992,10596.83137
Western Pacific Region,Other maternal disorders,1992,150029.4008
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1991,405.9762651
Western Pacific Region,Maternal hemorrhage,1992,530310.4338
Western Pacific Region,Maternal sepsis and other maternal infections,1992,139289.8046
Western Pacific Region,Maternal hypertensive disorders,1992,184830.915
European Region,Maternal deaths aggravated by HIV/AIDS,1991,24.09589534
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1992,730.7749002
Region of the Americas,Maternal hemorrhage,1991,201126.6134
Western Pacific Region,Maternal hemorrhage,1991,580174.8758
Western Pacific Region,Maternal sepsis and other maternal infections,1991,156305.2944
Western Pacific Region,Maternal hypertensive disorders,1991,198544.3965
Western Pacific Region,Maternal abortion and miscarriage,1992,160666.4745
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1991,188.1722319
Western Pacific Region,Maternal abortion and miscarriage,1991,172929.2482
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1991,58.14946893
European Region,Maternal deaths aggravated by HIV/AIDS,1992,25.7036604
South-East Asia Region,Maternal hemorrhage,1991,3706125.862
South-East Asia Region,Maternal sepsis and other maternal infections,1991,1065075.891
South-East Asia Region,Maternal hypertensive disorders,1991,1217707.085
South-East Asia Region,Maternal obstructed labor and uterine rupture,1991,513326.0744
South-East Asia Region,Ectopic pregnancy,1991,128088.9065
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1992,253.1077424
Western Pacific Region,Maternal hemorrhage,1993,495845.0271
South-East Asia Region,Indirect maternal deaths,1991,747281.4976
European Region,Maternal hemorrhage,1991,79025.49558
European Region,Maternal sepsis and other maternal infections,1991,32614.45935
European Region,Maternal hypertensive disorders,1991,53538.43475
European Region,Maternal obstructed labor and uterine rupture,1991,10568.77399
European Region,Ectopic pregnancy,1991,9842.703115
European Region,Indirect maternal deaths,1991,20006.42289
European Region,Late maternal deaths,1991,6555.925725
European Region,Other maternal disorders,1991,64461.09696
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1992,92.80673352
Western Pacific Region,Maternal abortion and miscarriage,1993,150073.8917
South-East Asia Region,Maternal abortion and miscarriage,1991,1360467.057
European Region,Maternal abortion and miscarriage,1991,54090.23824
South-East Asia Region,Maternal hemorrhage,1994,3504665.328
African Region,Maternal sepsis and other maternal infections,1994,763612.6141
African Region,Maternal hypertensive disorders,1994,526514.8145
African Region,Maternal obstructed labor and uterine rupture,1994,263099.552
African Region,Ectopic pregnancy,1994,149255.7989
African Region,Indirect maternal deaths,1994,202718.6819
African Region,Late maternal deaths,1994,231673.5269
African Region,Other maternal disorders,1994,463160.9676
South-East Asia Region,Maternal sepsis and other maternal infections,1994,980708.6094
South-East Asia Region,Maternal hypertensive disorders,1994,1159935.674
South-East Asia Region,Maternal obstructed labor and uterine rupture,1994,462229.269
South-East Asia Region,Ectopic pregnancy,1994,128927.8435
South-East Asia Region,Indirect maternal deaths,1994,715534.3445
Western Pacific Region,Maternal obstructed labor and uterine rupture,1991,43705.49439
Western Pacific Region,Ectopic pregnancy,1991,29385.66104
Western Pacific Region,Indirect maternal deaths,1991,164992.3265
Western Pacific Region,Late maternal deaths,1991,11250.7322
Western Pacific Region,Other maternal disorders,1991,158297.822
Western Pacific Region,Maternal obstructed labor and uterine rupture,1993,40164.84713
Western Pacific Region,Ectopic pregnancy,1993,26362.78008
Western Pacific Region,Indirect maternal deaths,1993,153689.023
Western Pacific Region,Late maternal deaths,1993,10198.76772
Western Pacific Region,Other maternal disorders,1993,144490.266
Western Pacific Region,Maternal sepsis and other maternal infections,1993,126293.0146
Western Pacific Region,Maternal hypertensive disorders,1993,175800.4969
African Region,Maternal hemorrhage,1994,995262.3316
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1993,329.3316071
African Region,Maternal deaths aggravated by HIV/AIDS,1993,67049.52585
Region of the Americas,Maternal hemorrhage,1993,194122.5478
European Region,Indirect maternal deaths,1994,18650.79954
European Region,Late maternal deaths,1994,6042.757206
European Region,Other maternal disorders,1994,59798.47164
European Region,Maternal hemorrhage,1994,70088.21074
European Region,Maternal sepsis and other maternal infections,1994,29035.75283
European Region,Maternal hypertensive disorders,1994,48370.87575
European Region,Maternal obstructed labor and uterine rupture,1994,9769.781501
European Region,Ectopic pregnancy,1994,8971.434025
African Region,Maternal abortion and miscarriage,1994,1273011.615
South-East Asia Region,Maternal abortion and miscarriage,1994,1204336.127
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1993,165.2399214
Eastern Mediterranean Region,Maternal abortion and miscarriage,1993,311424.0286
Eastern Mediterranean Region,Maternal abortion and miscarriage,1991,306370.9073
African Region,Maternal hemorrhage,1992,981791.4827
Region of the Americas,Maternal hemorrhage,1994,199729.1617
South-East Asia Region,Maternal hemorrhage,1993,3604309.166
South-East Asia Region,Maternal sepsis and other maternal infections,1993,1019067.465
South-East Asia Region,Maternal hypertensive disorders,1993,1189865.527
South-East Asia Region,Maternal obstructed labor and uterine rupture,1993,481226.3141
South-East Asia Region,Ectopic pregnancy,1993,129841.6716
Region of the Americas,Maternal sepsis and other maternal infections,1994,104148.7105
Region of the Americas,Maternal hypertensive disorders,1994,197308.5338
Region of the Americas,Maternal obstructed labor and uterine rupture,1994,16148.31667
Region of the Americas,Ectopic pregnancy,1994,12945.75714
Region of the Americas,Maternal abortion and miscarriage,1994,152368.3357
Eastern Mediterranean Region,Maternal hemorrhage,1991,508945.0883
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1991,248021.0615
Eastern Mediterranean Region,Maternal hypertensive disorders,1991,369744.4754
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1991,67369.33639
Eastern Mediterranean Region,Ectopic pregnancy,1991,19067.76974
Eastern Mediterranean Region,Indirect maternal deaths,1991,102128.9755
Eastern Mediterranean Region,Late maternal deaths,1991,48107.64799
Eastern Mediterranean Region,Other maternal disorders,1991,128150.6633
South-East Asia Region,Indirect maternal deaths,1993,732774.8547
Eastern Mediterranean Region,Maternal hemorrhage,1994,555572.9103
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1994,268514.4521
Eastern Mediterranean Region,Maternal hypertensive disorders,1994,420612.116
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1994,78630.28403
Eastern Mediterranean Region,Ectopic pregnancy,1994,22393.80226
Eastern Mediterranean Region,Indirect maternal deaths,1994,116190.9868
Eastern Mediterranean Region,Late maternal deaths,1994,55412.56619
Eastern Mediterranean Region,Other maternal disorders,1994,145999.0068
European Region,Maternal hemorrhage,1993,72443.3356
European Region,Maternal sepsis and other maternal infections,1993,29572.74323
European Region,Maternal hypertensive disorders,1993,49500.19836
European Region,Maternal obstructed labor and uterine rupture,1993,9878.987278
European Region,Ectopic pregnancy,1993,8849.85223
European Region,Indirect maternal deaths,1993,18640.1935
European Region,Late maternal deaths,1993,6151.653068
European Region,Other maternal disorders,1993,60715.0269
European Region,Maternal abortion and miscarriage,1994,46792.46315
Region of the Americas,Indirect maternal deaths,1994,54981.50234
Region of the Americas,Late maternal deaths,1994,40394.99764
Region of the Americas,Other maternal disorders,1994,91435.27047
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1993,1630.671862
South-East Asia Region,Maternal abortion and miscarriage,1993,1261095.762
South-East Asia Region,Late maternal deaths,1994,255214.8512
South-East Asia Region,Other maternal disorders,1994,702989.886
European Region,Maternal abortion and miscarriage,1993,47667.67792
Eastern Mediterranean Region,Maternal hemorrhage,1993,542961.1566
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1993,262393.9198
Eastern Mediterranean Region,Maternal hypertensive disorders,1993,404668.7262
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1993,75250.66622
Eastern Mediterranean Region,Ectopic pregnancy,1993,21153.16435
Eastern Mediterranean Region,Indirect maternal deaths,1993,111977.2196
Eastern Mediterranean Region,Late maternal deaths,1993,52971.88818
Eastern Mediterranean Region,Other maternal disorders,1993,141079.3682
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1994,1702.558431
Eastern Mediterranean Region,Maternal abortion and miscarriage,1994,310485.4099
Western Pacific Region,Maternal obstructed labor and uterine rupture,1994,43670.98983
Western Pacific Region,Ectopic pregnancy,1994,28591.60958
Western Pacific Region,Indirect maternal deaths,1994,175901.2355
Western Pacific Region,Late maternal deaths,1994,10633.62678
Western Pacific Region,Other maternal disorders,1994,153528.2576
European Region,Maternal deaths aggravated by HIV/AIDS,1994,26.61559257
Eastern Mediterranean Region,Maternal deaths aggravated by HIV/AIDS,1994,416.8432324
Western Pacific Region,Maternal deaths aggravated by HIV/AIDS,1994,280.5652139
African Region,Maternal deaths aggravated by HIV/AIDS,1994,75200.3708
African Region,Maternal hemorrhage,1993,986106.9464
Western Pacific Region,Maternal hemorrhage,1994,512759.1282
Western Pacific Region,Maternal sepsis and other maternal infections,1994,125039.5477
Western Pacific Region,Maternal hypertensive disorders,1994,185274.4735
South-East Asia Region,Maternal abortion and miscarriage,1995,1146098.457
European Region,Maternal hemorrhage,1995,67546.83127
European Region,Maternal sepsis and other maternal infections,1995,28337.94724
European Region,Maternal hypertensive disorders,1995,47125.37335
European Region,Maternal obstructed labor and uterine rupture,1995,9693.400613
European Region,Ectopic pregnancy,1995,8396.324685
African Region,Maternal sepsis and other maternal infections,1993,743820.9425
African Region,Maternal hypertensive disorders,1993,518971.1302
African Region,Maternal obstructed labor and uterine rupture,1993,261853.5149
African Region,Ectopic pregnancy,1993,146663.1243
African Region,Indirect maternal deaths,1993,201704.9164
African Region,Late maternal deaths,1993,226018.9002
African Region,Other maternal disorders,1993,455389.78
European Region,Indirect maternal deaths,1995,17959.14018
European Region,Late maternal deaths,1995,5987.9663
European Region,Other maternal disorders,1995,58216.58401
Western Pacific Region,Maternal abortion and miscarriage,1994,145787.9206
African Region,Maternal abortion and miscarriage,1993,1266603.944
Region of the Americas,Maternal deaths aggravated by HIV/AIDS,1994,1722.411186
European Region,Maternal abortion and miscarriage,1995,44185.67216
Region of the Americas,Maternal sepsis and other maternal infections,1993,104647.9486
Region of the Americas,Maternal hypertensive disorders,1993,189368.8437
Region of the Americas,Maternal obstructed labor and uterine rupture,1993,15549.47683
Region of the Americas,Ectopic pregnancy,1993,12598.98145
Eastern Mediterranean Region,Maternal hemorrhage,1995,569395.1229
Eastern Mediterranean Region,Maternal sepsis and other maternal infections,1995,272077.5646
Eastern Mediterranean Region,Maternal hypertensive disorders,1995,437745.4194
Eastern Mediterranean Region,Maternal obstructed labor and uterine rupture,1995,82388.05269
Eastern Mediterranean Region,Ectopic pregnancy,1995,23797.8125
Eastern Mediterranean Region,Indirect maternal deaths,1995,120719.2584
Eastern Mediterranean Region,Late maternal deaths,1995,57854.87646
Eastern Mediterranean Region,Other maternal disorders,1995,151489.8105
South-East Asia Region,Maternal deaths aggravated by HIV/AIDS,1995,2367.328117
Region of the Americas,Indirect maternal deaths,1993,49363.73294
Region of the Americas,Late maternal deaths,1993,39565.66752
Region of the Americas,Other maternal disorders,1993,86817.62301
European Region,Maternal deaths aggravated by HIV/AIDS,1995,27.40696834
Eastern Mediterranean Region,Maternal abortion and miscarriage,1995,308655.5132
Western Pacific Region,Maternal obstructed labor and uterine rupture,1995,46600.29347
Western Pacific Region,Ectopic pregnancy,1995,30093.80522
Western Pacific Region,Indirect maternal deaths,1995,195190.7119
